companyID,candleTime,closePrice,MaxCandleTime,Close,maxProfit,Name
22,"2017-08-11 12:30:00",370.85,"2017-08-11 12:45:00",370.55,-0.30,GAIL
22,"2017-08-11 12:30:00",370.85,"2017-08-11 13:00:00",370.55,-0.30,GAIL
22,"2016-12-01 09:30:00",329.32,"2016-12-01 14:00:00",332.37,3.05,GAIL
22,"2016-11-09 14:15:00",332.26,"2016-11-09 15:00:00",335.41,3.15,GAIL
22,"2016-03-08 10:45:00",262.78,"2016-03-08 15:15:00",265.38,2.60,GAIL
22,"2015-12-16 09:45:00",268.87,"2015-12-16 10:00:00",268.05,-0.82,GAIL
22,"2015-08-26 11:00:00",215.71,"2015-08-26 11:30:00",216.99,1.28,GAIL
22,"2015-08-26 12:15:00",215.15,"2015-08-26 13:30:00",215.86,0.71,GAIL
23,"2017-07-27 12:45:00",1062.05,"2017-07-27 15:00:00",1080.15,18.10,GODREJCP
23,"2017-08-11 11:30:00",916.55,"2017-08-11 12:30:00",916.20,-0.35,GODREJCP
23,"2016-05-11 11:00:00",704.00,"2016-05-11 11:45:00",707.80,3.80,GODREJCP
23,"2016-03-11 10:30:00",647.35,"2016-03-11 15:00:00",650.15,2.80,GODREJCP
23,"2015-06-26 11:30:00",593.35,"2015-06-26 15:15:00",601.50,8.15,GODREJCP
23,"2015-07-31 10:15:00",689.13,"2015-07-31 11:00:00",692.50,3.37,GODREJCP
23,"2015-08-04 10:15:00",700.53,"2015-08-04 10:30:00",695.83,-4.70,GODREJCP
23,"2015-08-05 10:15:00",693.50,"2015-08-05 15:00:00",708.48,14.98,GODREJCP
23,"2015-04-08 14:15:00",589.75,"2015-04-08 15:00:00",589.40,-0.35,GODREJCP
23,"2015-04-10 10:15:00",605.98,"2015-04-10 10:30:00",606.50,0.52,GODREJCP
23,"2015-05-15 14:45:00",576.45,"2015-05-15 15:00:00",584.88,8.43,GODREJCP
23,"2015-02-10 11:15:00",565.05,"2015-02-10 11:30:00",566.50,1.45,GODREJCP
24,"2018-01-24 11:15:00",1035.50,"2018-01-24 11:45:00",1027.85,-7.65,HCLTECH
24,"2016-11-09 11:30:00",793.20,"2016-11-09 11:45:00",791.65,-1.55,HCLTECH
24,"2016-01-19 11:15:00",835.10,"2016-01-19 15:15:00",840.00,4.90,HCLTECH
24,"2014-12-16 11:15:00",767.35,"2014-12-16 13:15:00",780.15,12.80,HCLTECH
25,"2016-02-29 13:30:00",1072.00,"2016-02-29 15:15:00",1064.75,-7.25,HDFC
26,"2016-02-29 13:30:00",975.35,"2016-02-29 15:15:00",976.90,1.55,HDFCBANK
28,"2016-11-09 09:45:00",160.80,"2016-11-09 13:30:00",162.45,1.65,HINDALCO
28,"2016-11-09 09:45:00",160.80,"2016-11-09 14:00:00",162.45,1.65,HINDALCO
28,"2016-11-09 11:30:00",157.05,"2016-11-09 15:15:00",162.55,5.50,HINDALCO
28,"2016-11-09 13:00:00",160.40,"2016-11-09 15:15:00",162.55,2.15,HINDALCO
28,"2016-06-24 14:00:00",117.40,"2016-06-24 15:00:00",117.45,0.05,HINDALCO
