id_15_min_candles,company_id,currCandleTime,currClosePrice,prevCandleTIme,prevOpenPrice,company
1202438,6,"2017-09-29 13:45:00",701.20,"2017-09-29 11:45:00",682.50,AUROPHARMA
1202951,6,"2017-11-02 09:45:00",792.65,"2017-11-02 09:15:00",768.20,AUROPHARMA
1205488,6,"2017-06-01 09:45:00",600.95,"2017-06-01 09:15:00",575.05,AUROPHARMA
1205493,6,"2017-06-01 11:00:00",594.50,"2017-06-01 09:15:00",575.05,AUROPHARMA
1206100,6,"2017-02-06 12:45:00",703.45,"2017-02-06 10:15:00",679.05,AUROPHARMA
1206100,6,"2017-02-06 12:45:00",703.45,"2017-02-06 10:30:00",675.00,AUROPHARMA
1206100,6,"2017-02-06 12:45:00",703.45,"2017-02-06 10:45:00",676.20,AUROPHARMA
1206100,6,"2017-02-06 12:45:00",703.45,"2017-02-06 11:00:00",677.50,AUROPHARMA
1206103,6,"2017-02-06 13:30:00",703.05,"2017-02-06 11:00:00",677.50,AUROPHARMA
1206100,6,"2017-02-06 12:45:00",703.45,"2017-02-06 11:15:00",682.25,AUROPHARMA
1206103,6,"2017-02-06 13:30:00",703.05,"2017-02-06 11:15:00",682.25,AUROPHARMA
1206100,6,"2017-02-06 12:45:00",703.45,"2017-02-06 11:30:00",685.25,AUROPHARMA
1206103,6,"2017-02-06 13:30:00",703.05,"2017-02-06 11:30:00",685.25,AUROPHARMA
1209884,6,"2016-06-24 14:00:00",690.05,"2016-06-24 12:30:00",668.00,AUROPHARMA
1212708,6,"2016-02-10 13:45:00",684.05,"2016-02-10 13:15:00",665.10,AUROPHARMA
1212726,6,"2016-02-11 12:00:00",685.40,"2016-02-11 11:15:00",667.20,AUROPHARMA
1214803,6,"2015-08-19 11:00:00",807.00,"2015-08-19 09:15:00",774.00,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 10:45:00",692.40,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 11:00:00",676.00,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 11:15:00",670.00,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 11:30:00",672.00,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 11:45:00",670.35,AUROPHARMA
1214915,6,"2015-08-25 14:15:00",733.00,"2015-08-25 11:45:00",670.35,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 12:00:00",667.70,AUROPHARMA
1214915,6,"2015-08-25 14:15:00",733.00,"2015-08-25 12:00:00",667.70,AUROPHARMA
1214909,6,"2015-08-25 12:45:00",734.55,"2015-08-25 12:15:00",705.10,AUROPHARMA
1214915,6,"2015-08-25 14:15:00",733.00,"2015-08-25 12:15:00",705.10,AUROPHARMA
1217061,6,"2015-07-31 12:00:00",752.50,"2015-07-31 09:30:00",730.05,AUROPHARMA
1217061,6,"2015-07-31 12:00:00",752.50,"2015-07-31 10:00:00",732.50,AUROPHARMA
1219292,6,"2015-02-11 14:00:00",556.00,"2015-02-11 11:30:00",540.73,AUROPHARMA
1219292,6,"2015-02-11 14:00:00",556.00,"2015-02-11 11:45:00",540.40,AUROPHARMA
1219292,6,"2015-02-11 14:00:00",556.00,"2015-02-11 12:00:00",540.50,AUROPHARMA
1219545,6,"2015-02-26 14:45:00",511.53,"2015-02-26 12:15:00",496.88,AUROPHARMA
1219545,6,"2015-02-26 14:45:00",511.53,"2015-02-26 12:30:00",497.38,AUROPHARMA
1219545,6,"2015-02-26 14:45:00",511.53,"2015-02-26 12:45:00",495.85,AUROPHARMA
1219545,6,"2015-02-26 14:45:00",511.53,"2015-02-26 13:00:00",492.28,AUROPHARMA
1219545,6,"2015-02-26 14:45:00",511.53,"2015-02-26 13:15:00",492.40,AUROPHARMA
1219545,6,"2015-02-26 14:45:00",511.53,"2015-02-26 13:30:00",493.38,AUROPHARMA
1223283,7,"2015-02-28 12:30:00",585.00,"2015-02-28 11:45:00",567.55,AXISBANK
1233663,7,"2016-11-09 11:00:00",479.40,"2016-11-09 09:15:00",461.05,AXISBANK
1233665,7,"2016-11-09 11:30:00",480.80,"2016-11-09 09:15:00",461.05,AXISBANK
1265339,9,"2017-02-01 15:15:00",3328.00,"2017-02-01 12:45:00",3211.65,BAJAJFINSV
1265339,9,"2017-02-01 15:15:00",3328.00,"2017-02-01 13:00:00",3226.00,BAJAJFINSV
1265339,9,"2017-02-01 15:15:00",3328.00,"2017-02-01 13:15:00",3236.30,BAJAJFINSV
1266458,9,"2016-11-09 13:45:00",3019.80,"2016-11-09 11:15:00",2937.20,BAJAJFINSV
