companyID,MainCandleTime,MainCandleClose,MinCandleTime,MinCLose,MaxLoss,Name
48,"2016-11-22 13:15:00",1846.90,"2016-11-22 13:45:00",1844.50,2.40,MCDOWELL
48,"2017-01-17 14:15:00",2087.85,"2017-01-17 14:30:00",2083.15,4.70,MCDOWELL
48,"2017-01-18 11:15:00",2210.45,"2017-01-18 14:45:00",2091.05,119.40,MCDOWELL
48,"2016-05-03 13:00:00",2467.05,"2016-05-03 15:15:00",2442.00,25.05,MCDOWELL
48,"2016-05-03 13:30:00",2469.40,"2016-05-03 15:15:00",2442.00,27.40,MCDOWELL
48,"2016-02-03 13:30:00",2573.55,"2016-02-03 15:15:00",2522.00,51.55,MCDOWELL
48,"2016-02-25 13:30:00",2663.95,"2016-02-25 13:45:00",2648.05,15.90,MCDOWELL
48,"2016-03-08 10:15:00",2466.00,"2016-03-08 13:45:00",2414.05,51.95,MCDOWELL
48,"2015-05-13 15:00:00",3613.95,"2015-05-13 15:15:00",3573.00,40.95,MCDOWELL
48,"2015-03-03 10:45:00",3610.00,"2015-03-03 14:30:00",3590.00,20.00,MCDOWELL
48,"2015-03-04 13:00:00",3829.95,"2015-03-04 14:30:00",3839.95,-10.00,MCDOWELL
49,"2017-05-19 14:00:00",277.37,"2017-05-19 14:15:00",276.17,1.20,MOTHERSUMI
49,"2017-06-12 10:15:00",318.50,"2017-06-12 13:15:00",315.90,2.60,MOTHERSUMI
49,"2016-11-16 10:30:00",193.23,"2016-11-16 15:15:00",193.33,-0.10,MOTHERSUMI
49,"2016-11-09 14:45:00",205.50,"2016-11-09 15:00:00",205.17,0.33,MOTHERSUMI
49,"2016-05-17 12:45:00",192.37,"2016-05-17 13:00:00",191.80,0.57,MOTHERSUMI
49,"2016-01-19 14:15:00",168.40,"2016-01-19 15:00:00",166.13,2.27,MOTHERSUMI
49,"2016-02-17 12:00:00",145.90,"2016-02-17 12:15:00",145.27,0.63,MOTHERSUMI
49,"2016-02-24 10:15:00",143.37,"2016-02-24 14:45:00",141.00,2.37,MOTHERSUMI
49,"2015-08-25 13:45:00",196.73,"2015-08-25 14:15:00",196.00,0.73,MOTHERSUMI
49,"2015-10-12 10:15:00",167.13,"2015-10-12 10:30:00",166.87,0.26,MOTHERSUMI
49,"2015-04-28 10:45:00",204.51,"2015-04-28 14:00:00",204.00,0.51,MOTHERSUMI
49,"2015-04-30 10:30:00",217.29,"2015-04-30 10:45:00",217.45,-0.16,MOTHERSUMI
50,"2016-09-23 13:30:00",46155.50,"2016-09-23 15:00:00",45724.85,430.65,MRF
50,"2016-11-09 09:45:00",49864.45,"2016-11-09 10:15:00",49501.05,363.40,MRF
50,"2016-03-29 15:00:00",37024.00,"2016-03-29 15:15:00",36799.00,225.00,MRF
51,"2015-01-16 11:45:00",6967.40,"2015-01-16 12:15:00",6975.90,-8.50,NESTLEIND
52,"2016-11-09 11:45:00",153.85,"2016-11-09 12:00:00",153.15,0.70,NTPC
52,"2015-08-25 12:45:00",121.45,"2015-08-25 15:00:00",118.55,2.90,NTPC
52,"2015-08-28 10:30:00",124.40,"2015-08-28 14:30:00",120.40,4.00,NTPC
53,"2016-11-09 09:45:00",176.30,"2016-11-09 10:15:00",171.53,4.77,ONGC
53,"2016-11-09 11:00:00",174.33,"2016-11-09 11:15:00",174.07,0.26,ONGC
54,"2016-11-15 13:45:00",617.65,"2016-11-15 15:00:00",617.95,-0.30,PIDILITIND
54,"2016-02-10 13:15:00",592.45,"2016-02-10 14:45:00",586.90,5.55,PIDILITIND
54,"2016-02-22 09:45:00",643.95,"2016-02-22 14:45:00",635.65,8.30,PIDILITIND
54,"2015-08-25 14:15:00",539.65,"2015-08-25 14:45:00",537.70,1.95,PIDILITIND
54,"2015-08-26 11:45:00",548.95,"2015-08-26 12:00:00",548.05,0.90,PIDILITIND
54,"2015-08-04 15:00:00",591.80,"2015-08-04 15:15:00",593.00,-1.20,PIDILITIND
54,"2015-01-14 11:45:00",565.65,"2015-01-14 14:30:00",564.95,0.70,PIDILITIND
54,"2015-01-15 12:45:00",576.00,"2015-01-15 14:15:00",574.55,1.45,PIDILITIND
54,"2014-11-21 15:00:00",439.75,"2014-11-21 15:15:00",441.75,-2.00,PIDILITIND
54,"2014-12-17 12:45:00",459.00,"2014-12-17 15:00:00",458.70,0.30,PIDILITIND
54,"2014-12-26 12:15:00",512.70,"2014-12-26 15:15:00",509.50,3.20,PIDILITIND
